2024-05-14 22:36:03.139 [main] INFO  c.e.l.LibraryManagementSystemApplication - Starting LibraryManagementSystemApplication using Java 18.0.1.1 with PID 20920 (C:\Users\Hassona\IdeaProjects\LibraryManagementSystem\target\classes started by Hassona in C:\Users\Hassona\IdeaProjects\LibraryManagementSystem)
2024-05-14 22:36:03.142 [main] INFO  c.e.l.LibraryManagementSystemApplication - No active profile set, falling back to 1 default profile: "default"
2024-05-14 22:36:04.003 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-05-14 22:36:04.072 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 60 ms. Found 3 JPA repository interfaces.
2024-05-14 22:36:04.507 [main] WARN  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.ws.config.annotation.DelegatingWsConfiguration' of type [org.springframework.ws.config.annotation.DelegatingWsConfiguration$$SpringCGLIB$$0] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). The currently created BeanPostProcessor [annotationActionEndpointMapping] is declared through a non-static factory method on that class; consider declaring it as static instead.
2024-05-14 22:36:04.535 [main] INFO  o.s.w.s.a.s.AnnotationActionEndpointMapping - Supporting [WS-Addressing August 2004, WS-Addressing 1.0]
2024-05-14 22:36:05.221 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2024-05-14 22:36:05.235 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-05-14 22:36:05.235 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
2024-05-14 22:36:05.310 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-05-14 22:36:05.311 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2118 ms
2024-05-14 22:36:05.611 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-05-14 22:36:05.682 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.4.Final
2024-05-14 22:36:05.726 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2024-05-14 22:36:06.047 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2024-05-14 22:36:06.104 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2024-05-14 22:36:06.494 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@58b3eb1
2024-05-14 22:36:06.496 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2024-05-14 22:36:06.577 [main] WARN  org.hibernate.orm.deprecation - HHH90000025: MySQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2024-05-14 22:36:07.923 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-05-14 22:36:08.277 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-05-14 22:36:09.405 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-05-14 22:36:09.727 [main] WARN  o.s.b.a.s.s.UserDetailsServiceAutoConfiguration - 

Using generated security password: f608d41c-e167-4616-b563-de4575a845d8

This generated password is for development use only. Your security configuration must be updated before running your application in production.

2024-05-14 22:36:09.895 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@63b4a896, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@3feeab43, org.springframework.security.web.context.SecurityContextHolderFilter@70720b78, org.springframework.security.web.csrf.CsrfFilter@7cecd959, org.springframework.security.web.authentication.logout.LogoutFilter@5ce045e3, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@355da59c, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@381db99e, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@6178ac9d, org.springframework.security.web.access.ExceptionTranslationFilter@79122f5f, org.springframework.security.web.access.intercept.AuthorizationFilter@224f90eb]
2024-05-14 22:36:11.548 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2024-05-14 22:36:11.557 [main] INFO  c.e.l.LibraryManagementSystemApplication - Started LibraryManagementSystemApplication in 8.922 seconds (process running for 10.124)
2024-05-14 22:36:13.407 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-05-14 22:36:13.407 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-05-14 22:36:13.408 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2024-05-14 22:36:13.564 [http-nio-8080-exec-1] INFO  c.e.l.logging.LoggingAspect - Method 'addBook' is called.
2024-05-14 22:36:13.655 [http-nio-8080-exec-1] INFO  c.e.l.logging.LoggingAspect - Method 'addBook' executed in 91 ms
2024-05-14 22:38:36.423 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2024-05-14 22:38:36.426 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2024-05-14 22:38:36.434 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
