2024-05-15 00:23:17.385 [main] INFO  c.e.l.LibraryManagementSystemApplication - Starting LibraryManagementSystemApplication using Java 18.0.1.1 with PID 2644 (C:\Users\Hassona\IdeaProjects\LibraryManagementSystem\target\classes started by Hassona in C:\Users\Hassona\IdeaProjects\LibraryManagementSystem)
2024-05-15 00:23:17.388 [main] INFO  c.e.l.LibraryManagementSystemApplication - No active profile set, falling back to 1 default profile: "default"
2024-05-15 00:23:18.226 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-05-15 00:23:18.301 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 64 ms. Found 3 JPA repository interfaces.
2024-05-15 00:23:18.710 [main] WARN  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.ws.config.annotation.DelegatingWsConfiguration' of type [org.springframework.ws.config.annotation.DelegatingWsConfiguration$$SpringCGLIB$$0] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). The currently created BeanPostProcessor [annotationActionEndpointMapping] is declared through a non-static factory method on that class; consider declaring it as static instead.
2024-05-15 00:23:18.735 [main] INFO  o.s.w.s.a.s.AnnotationActionEndpointMapping - Supporting [WS-Addressing August 2004, WS-Addressing 1.0]
2024-05-15 00:23:19.459 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2024-05-15 00:23:19.470 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-05-15 00:23:19.471 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
2024-05-15 00:23:19.539 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-05-15 00:23:19.539 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2100 ms
2024-05-15 00:23:19.848 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-05-15 00:23:19.919 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.4.Final
